CRASH_RECORD_ID,CRASH_DATE,CRASH_TYPE,CRASH_MONTH,CRASH_YEAR,CRASH_TIME
e1275b484a33897a6ad32a90ce96a1488b214d37f3f4ae7aa424721eb452b932e03357ad3ee9821115591b348735476f79753c661c3a2c0292bd33411620d4a6,2020-11-28 16:46:00,V,11,2020,16:46:00
e1275b484a33897a6ad32a90ce96a1488b214d37f3f4ae7aa424721eb452b932e03357ad3ee9821115591b348735476f79753c661c3a2c0292bd33411620d4a6,2020-11-28 16:46:00,V,11,2020,16:46:00
d46e3a99ad77b4ce76bd9cd3b38780e56c20d037866441873cacd8932d1844421ea8b0d7a9cdafd98b1dca222efcb6cf3c6e60f87e7c217f309176aa02178785,2020-11-28 16:00:00,V,11,2020,16:00:00
d46e3a99ad77b4ce76bd9cd3b38780e56c20d037866441873cacd8932d1844421ea8b0d7a9cdafd98b1dca222efcb6cf3c6e60f87e7c217f309176aa02178785,2020-11-28 16:00:00,V,11,2020,16:00:00
2e20553ce91912e6fe966b4074e1a28e61e9d259b8620e38fa3a4c6fd56c139a2a58c459b8c9793eb0418eb8e1ffdeb55aa5180026c82e4933ff27ff644bfaaf,2020-11-28 17:05:00,V,11,2020,17:05:00
2e20553ce91912e6fe966b4074e1a28e61e9d259b8620e38fa3a4c6fd56c139a2a58c459b8c9793eb0418eb8e1ffdeb55aa5180026c82e4933ff27ff644bfaaf,2020-11-28 17:05:00,V,11,2020,17:05:00
e11cb1e66054acc0529616f38d5047b096a694bf5c8e5061e02862dcf4356cf56bdeee74f6a0fe98d9c642d8da1dc6f4e632cccb612480b8b8869bf43135861c,2020-11-28 14:00:00,V,11,2020,14:00:00
e11cb1e66054acc0529616f38d5047b096a694bf5c8e5061e02862dcf4356cf56bdeee74f6a0fe98d9c642d8da1dc6f4e632cccb612480b8b8869bf43135861c,2020-11-28 14:00:00,V,11,2020,14:00:00
bd66f0851af3eb4ed7889ab73d75714a70484ea06e3d0025be227d5da85b1a1d58fb704dcca5e5f825c2abaa512dab3e87275d354fc65724ce0841df6f1c0900,2016-11-22 23:16:00,V,11,2016,23:16:00
f8b5255580c94a14f2e75bf4bbfb08773cf4d3597fa8cd4c90b2f701b018c8a05e72ed6763db634c599541929299ae407d1956cfac605fc17972698dc75c223e,2020-11-28 17:10:00,V,11,2020,17:10:00
f8b5255580c94a14f2e75bf4bbfb08773cf4d3597fa8cd4c90b2f701b018c8a05e72ed6763db634c599541929299ae407d1956cfac605fc17972698dc75c223e,2020-11-28 17:10:00,V,11,2020,17:10:00
d8bf6ca845b2e1c6eac4387bff7494c9759d2e5f2503c3a608e86bc5ece92ddc02b7d13b70e74cbbdb5111d00ed019b234abe9b1782d9f9fb1d045c734f7463b,2020-11-28 12:35:00,V,11,2020,12:35:00
d8bf6ca845b2e1c6eac4387bff7494c9759d2e5f2503c3a608e86bc5ece92ddc02b7d13b70e74cbbdb5111d00ed019b234abe9b1782d9f9fb1d045c734f7463b,2020-11-28 12:35:00,V,11,2020,12:35:00
