CRASH_RECORD_ID,CRASH_DATE,CRASH_TYPE,CRASH_MONTH,CRASH_YEAR,CRASH_TIME,LATITUDE,LONGITUDE,LOCATION,ZIPCODE
f657c35b85bb062a4785eb843d740e69e692a939ee01b8fd662c64c4405b805e919d4644eacb6dbe0edccb04f9e48c9ace86fa8e231de7e24016e87e1b005dc5,2023-04-18 11:00:00,C,4,2023,11:00:00,41.898341319,-87.618057856,POINT (-87.618057855957 41.898341319021),
8a5a2850834cd6d09ad1597dab29967935ff3e4de1f0c8f359061897c53415e00c5ed973da6015a464aa707f3beae81e48b7095dfe21818498048922a670ecbe,2023-10-16 09:28:00,C,10,2023,09:28:00,41.896393332,-87.654686711,POINT (-87.654686710965 41.89639333201),
4593b30b2fe72b2df988cce525beadfc98728443d954e46ce0f455ca8a08c47d7f4abb3ba00979bf9c6a6b77a027dd8c1a9a2b0f2c84abd1c5ecb5bac4a35717,2023-06-06 14:20:00,C,6,2023,14:20:00,41.759852161,-87.644422208,POINT (-87.644422208067 41.759852160596),
810d2ee9a0f13be2c32a5a1c55bbec8692633dcea351dc11ebe36d4ea041c4d87577a8a6465b66b12707ba00c3f69746cc24967ab288a8eea65412ae5b4da73c,2023-10-11 10:00:00,C,10,2023,10:00:00,41.93197047,-87.699931619,POINT (-87.699931619044 41.931970469953),
419cc3da4f085b8fa1cb9c46749be2c5f3f7b7c4ca0361accfe43d839a7cf7ae2d368ed915f0cffbb856e6ca4b8f5efada559e776a0bd9d78a1bf9800fde70c5,2023-03-07 09:35:00,C,3,2023,09:35:00,41.925547526,-87.648618348,POINT (-87.648618347942 41.9255475255),
7a3ac72a7b4b26c34091e1678a7aaf0abbddf39d11ffd3d8ee1727cddceac7059e466eb23f459a19fa7bf77b28a727b30c4e4587f9e4bd85492846fb87ea64e2,2023-12-09 18:00:00,C,12,2023,18:00:00,41.746062636,-87.702143236,POINT (-87.702143235997 41.746062636044),
009607940a4a6225fba41106a5edf7b60d703df8b0ec983175e5334a21cdeaa69b3b110f63a4e4832278051c52e0700b3f66f721e1a0caf94328e103b36167b2,2023-12-18 17:55:00,C,12,2023,17:55:00,41.844607515,-87.694804642,POINT (-87.694804642033 41.844607514956),
e0764a3e749fcf2f22f9a031f1b1deca5826aa60ec0d0055eb01312ab4b212e7a525143ec001dc2774156d4d65db2dbcbb489c4d150a71724c252356ac0a3729,2023-07-22 00:21:00,C,7,2023,00:21:00,41.773455972,-87.585022352,POINT (-87.585022352022 41.773455972008),
7de84f4c61d5c0f2daeeafa0335208443ff5dda935e66cd8e66830f49ac8c41008c17a7204e0873696c87807a671005e449d33ec9daae16aa08c42e2ab539a66,2023-10-26 18:30:00,C,10,2023,18:30:00,41.735617968,-87.682663369,POINT (-87.682663369002 41.735617967973),
d070c50aed4242b42272ef9a91d412ec6dd05c110177640266386966d98bc579bcf4e0b8c9ea121216be72ff1a7be07d18da6808a331f7a0caec7e9eca18b369,2023-12-11 14:00:00,C,12,2023,14:00:00,41.830728826,-87.655813252,POINT (-87.655813252029 41.830728825995),
ea6edc0f5fa80c2c6949f1b1c4dd88c8ee14fbcba8b772e6930adb970553ffd17e1b0b2f7e3621c8ed3257027bde901844e152921244ede68a0cfb5f753d81a0,2023-10-02 17:50:00,C,10,2023,17:50:00,41.894854301,-87.626952553,POINT (-87.626952553038 41.89485430104),
e762b7d66dea21fe296fd7baf89a937e5b56401374a9c8c2ecc696d2c64d2cd8305389d6737b0123b58706be2b5039c7edbe82bde3eb9362ee94b674fd1e1bae,2023-07-29 15:46:00,P,7,2023,15:46:00,,,,60619
2ce196660fa5c7c2fe2701f9e93a0621b994613716d7a22fbf466e2a675a68c6fdf600b851b7c0f86646f30d37dfd5db453fbf7a46b744400079c46bdd8f4e8b,2023-11-11 19:10:00,C,11,2023,19:10:00,41.983014558,-87.78220528,POINT (-87.782205279991 41.983014558005),
091716c95173235cb9b6bcd43939bf3219bb0de1c8022fe36e6b8b3dc9770ca4b203501ab3238b6c3155cd8496dfd296a0d481d1cac73cc777ba413111da8b65,2023-11-26 22:20:00,C,11,2023,22:20:00,41.961238465,-87.713199375,POINT (-87.713199374979 41.961238465013),
f466e3519f87921e4f8cc49b978ad74cef7b0051a0b36291ed67af45654a61107f9fcc8774592e7c04f482ad3979e29922932e53136d67602fbcf16aab339411,2023-11-26 05:04:00,C,11,2023,05:04:00,41.842703341,-87.685176133,POINT (-87.68517613297 41.842703340996),
aabd243c461d27e74988de82a3d4383c05f24efa9a496fd562255466817c56db34d1d6a291c7d2c67e06cc4f367f7485a6be9f53bd6d7fe96aa2313e339a1b4d,2023-11-05 14:28:00,C,11,2023,14:28:00,41.920486673,-87.760804845,POINT (-87.76080484504 41.920486673022),
479baafa6a59eec3a574e02b8e6eb224050ac6556fb276a5bf10b33a92aa371bba1aed34a4451e6174e77ab62d54e2185a75093b10f9a1c7c273ace192d01f31,2023-05-28 18:00:00,C,5,2023,18:00:00,41.991533947,-87.673395409,POINT (-87.673395409319 41.991533947018),
e12ff93fe0ce7a21cc56e574bc744f55eb16654fa0fe92cd44ad5205f0432282156af6d883d4a93893281df17d647c0a2f17e14ec9b835eb892f62f329eb518d,2023-06-06 09:00:00,C,6,2023,09:00:00,41.903536788,-87.661859583,POINT (-87.661859582959 41.903536788031),
44acc4586c6dfb70908248be6ad487e66591fb40b0b8cf81377784c028e7e2457529e1a2dc5cfd2b7c9fa16d18f929ec95e71f64ea6cbd1347e5ef78b75fd5b9,2023-01-27 12:00:00,C,1,2023,12:00:00,41.8941336,-87.61817915,POINT (-87.61817914958 41.894133600184),
0ef4d7bba767119ce60a77fe9a1f43b37a09023cc6c5b38fcdf74ca0d0fbaaedbcdced82c6f26ab26823074498d89c59a9f66c76e3173ed9c9d480dffce3b289,2023-10-02 12:30:00,C,10,2023,12:30:00,41.702473877,-87.681346972,POINT (-87.681346972031 41.702473877),
5b48560f0c9876603ba24fa506da473ae3e66ecea12e11b5c0bf8f93ef70184faac55b59f7fe71aa0928c14174de5409fbd19f6db3642b0a59b094883fafaac6,2023-10-25 22:25:00,C,10,2023,22:25:00,41.910318888,-87.697966526,POINT (-87.697966526036 41.91031888795),
48c7898930b99a72159170dac6c853926f8a7a65f743f476490b9928334580bc0f466611f144f5b20190564f91369922b334346d34927814a3e4bf424f4d9236,2023-08-18 10:25:00,C,8,2023,10:25:00,41.963425754,-87.701125621,POINT (-87.701125620725 41.963425754283),
d5c752694af877a5d34e1a9cf186d1e903f26ec20ca0c42624b1765612b672dd9e5b771271a3bf823cc4cda3f5584c5f1a6682e9e459acd3d1533a0ca9fdbceb,2023-11-24 06:46:00,C,11,2023,06:46:00,41.964295766,-87.745031434,POINT (-87.745031433958 41.964295765982),
46c8ab37c79d55fbfbe594fdaf9985a942428de01b20c8a7dbf665ab4b5220025fc7f898f247f911509e0b9cea8bb1a9063f301285e590191090c14d82d840d6,2023-04-29 13:00:00,C,4,2023,13:00:00,41.803206715,-87.669755952,POINT (-87.669755951719 41.803206714647),
c6de5a0841d4df3fa34007a6f1b032944ddd54a990c589f1e8fed0c2b2db16d9a6f16a1c212ade597f91ce4dab366f6fe8d440113ff3f82dd988a247c0e96765,2023-11-11 10:30:00,C,11,2023,10:30:00,41.866501191,-87.686157599,POINT (-87.686157599021 41.866501191036),
f35141ea5259e12f013876b1183a4fc8dc184a5e5d3c324bfbcb78e6a6b118c9718abae0e43a0d25a37d5ddce5f60fe79bb19b3d4eac40a442b8d71eb696aec4,2023-12-10 19:30:00,C,12,2023,19:30:00,41.765956135,-87.576743076,POINT (-87.576743076024 41.765956135009),
a3c345234df190e99e281c134cd8ddb28789a82321274e86109730f4ef50f5a162e3d433f015ab74392bdc7dc1870cf8a1a5890c09eb47095bbf90b9401f846f,2023-12-10 17:15:00,C,12,2023,17:15:00,41.744151639,-87.585945067,POINT (-87.585945066953 41.744151639042),
