CRASH_RECORD_ID,CRASH_DATE,WEATHER_CONDITION,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,REPORT_TYPE,DATE_POLICE_NOTIFIED,LATITUDE,LONGITUDE,LOCATION,Crash_Type
bde92bfca22985fc0b0354b01d1eb8b71e312ff6b171c194c2815eff8464a9f38d668035dfa1c0de668e8aa383cfbc4779447effa6c2853eef22df40426ec13a,08/20/2023 07:00:00 AM,UNKNOWN,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),08/20/2023 08:35:00 AM,41.777121675,-87.692925138,POINT (-87.692925138017 41.777121674979),C
d0ec570bb7a076dddf83ecc23884e58ec0625d73de48f270c932be49ee108e9f2d50a77968c6649b3def001564e9c59bb7d5a4647877173d82f8f8b5fb466acb,08/20/2023 12:16:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/20/2023 01:40:00 PM,41.808749374,-87.66230696,POINT (-87.662306960034 41.808749374011),C
48a4fac22764f7385c386cef481fccf06d766e3008855e3e6105fb83c957c248f25ee3be5fd835b45592c3a33280ce019fe9f61d259e41ce94984e56e8511405,09/15/2023 09:15:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),09/21/2023 05:40:00 PM,41.773765662,-87.722781154,POINT (-87.72278115402 41.773765661984),C
fe9c230df33a8c834bf81b510cd488885992b21cf1a57feec93691e4044e65da9f4f3460f32602c6205498a3571620833bbd9860450aa8514f3f3e891ab08421,07/31/2023 01:00:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),07/31/2023 01:30:00 PM,41.924439291,-87.739490621,POINT (-87.739490621032 41.924439290993),C
5692fa5d323f414ae701dc19ad144024cf56f96b0c9bce42030627b4f0fc4d16e71db998c14bbc4eca006bbf8e70238870176c3ffd5e62d3c9b366d6f8f5b46d,10/08/2023 03:45:00 AM,CLEAR,DARKNESS,UNKNOWN,NOT ON SCENE (DESK REPORT),10/08/2023 04:35:00 AM,41.965493365,-87.65871372,POINT (-87.658713719955 41.965493364999),C
61bd18c14262aa0b4b71e278dc1c821b868d0b92336a4875caa41674cd713547149a55f7f7deed97c04eae326a80db4cc0c2d63f893cacceca5d8cbd27c18b57,10/08/2023 02:15:00 AM,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,ON SCENE,10/08/2023 02:16:00 AM,41.830595328,-87.665423764,POINT (-87.665423764019 41.830595327951),C
513cecd3b5153b3fa72464bb272d3fa147ade05eb03143d8d95e9e77ca5795475c4402b949ed48c5aa43b6d10ca5cbde288ee59619e7726cf9deda607d99be1c,09/24/2023 02:00:00 AM,UNKNOWN,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),09/24/2023 07:55:00 PM,41.667111804,-87.63305917,POINT (-87.633059170025 41.667111804032),C
71f07c17ca207ba5346c286d3a28842d09d59b36d616b166337377cd27b96710824865dc19b332daa1e03a99ca8103ee43aa2ed7abd9056dfe3d7f33cff88242,08/13/2023 01:25:00 AM,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,ON SCENE,08/13/2023 01:45:00 AM,41.761936607,-87.626635614,POINT (-87.626635613963 41.761936607048),C
bc7ec482f6bb0e0a80ff49eee929f0e85384d3f62b8b137f6ed31f95abf070d8fa84b03d659167b77492209acbad05c7e7e8f1970b1da4965ec058b608a70e23,09/07/2023 05:30:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),09/08/2023 11:35:00 AM,41.921729807,-87.663234201,POINT (-87.663234201004 41.921729806985),C
2726bbeef554bcd5502a878fbe1539038ebc03a86e5ed7c8228cdde7bc48818fd55bbe047e56aa29f29d375bc41d9bce2eb68bbcbf96caf22302b19c682f8413,08/09/2023 07:00:00 AM,CLEAR,DAYLIGHT,DRY,ON SCENE,08/09/2023 07:48:00 AM,41.763665021,-87.621796302,POINT (-87.621796301972 41.763665021044),C
083d1d01608588748a8eb6a9ba50926411357abc81e7cf502632159c694206cd11c954340149d4d7a9054ddfd2384a6e8c7af698059a81a5b44d254afa1cfe9d,08/14/2023 01:50:00 PM,RAIN,DAYLIGHT,WET,ON SCENE,08/14/2023 02:09:00 PM,41.923910668,-87.777386127,POINT (-87.777386127036 41.923910667953),C
2a2762c3507471675211650dbab3420b6c203bdd9f53ac0ea50375a3a7eef457b48b254c5e6505aa0a5f9f998bbe574b4c1ef311dfca72f165cdae9546fcdc40,08/15/2023 05:43:00 PM,CLEAR,DAYLIGHT,DRY,ON SCENE,08/15/2023 05:43:00 PM,41.7715331,-87.644717151,POINT (-87.644717150986 41.771533099997),C
0388a8bc3bda7add86b5e25e2999588178bdfb5de2951f6059ffaa7a51193fb8a2f0c57f0b51e6bcc4e73cc8370e3020b7855d8971f8a94086bb4d118a4ef9b9,08/01/2023 02:14:00 PM,CLEAR,DAYLIGHT,DRY,ON SCENE,08/01/2023 02:18:00 PM,41.976033133,-87.671642688,POINT (-87.671642688042 41.976033132989),C
54be04f9f10fb44cb9045e4009c356d67bf76398d815c54dfebd8f8d82281d9bd94f698372c7d191a0f02d5432bc4a1a60fa93e1feeeee99b40e5f6d9b6ef118,08/21/2023 03:35:00 PM,CLEAR,DAYLIGHT,UNKNOWN,NOT ON SCENE (DESK REPORT),08/21/2023 04:15:00 PM,41.75869138,-87.60533417,POINT (-87.605334170015 41.75869137995),C
0e0482b1eb2fa321484d8cf151a8874129474e66d0cb8f7d8585fbffb1bbd172e74d6ccf7fe44fe17594707c095a236a696c8c0381f53c82268182158f66cb88,08/01/2023 11:45:00 PM,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,ON SCENE,08/01/2023 11:53:00 PM,41.866119494,-87.720927574,POINT (-87.720927573996 41.866119493974),C
26e904875b56f4b54be61cb3614c69c4922b7e2be6378781b456eba660bcd8c09037b7e8f655dd0e0b47b9031423d77e48d902f0b89443af187fe8d5e307b42b,08/01/2023 03:29:00 PM,CLEAR,DAYLIGHT,DRY,ON SCENE,08/01/2023 04:10:00 PM,41.912793335,-87.633658093,POINT (-87.633658092957 41.912793334996),C
9da0d5739ba205931cb1d113c31ea330fe798cfe20494d3270de59293eafd5e6f32980cbceba79e94cbbcfe265bf53cef8b15200c412fad351f2f9493c608a7e,08/21/2023 03:28:00 PM,CLEAR,DAYLIGHT,DRY,ON SCENE,08/21/2023 03:37:00 PM,41.984874268,-87.787555484,POINT (-87.787555484022 41.984874268025),C
